posting_id,title,location,description,role_family_label
46e6186e9c135fb4,Research Software Development Engineer/Senior Research Software Development Engineer - Remote,"Remote in Chicago, IL 60607+1 location","Research Software Development Engineer/Senior Research Software Development Engineer - Remote Discovery Partners Institute Posting Category: The Discovery Partners Institute provides a platform for people to jumpstart their tech careers or companies in Chicago. Led by the University of Illinois System in partnership with local and global research universities, DPI does three things: train people for high-demand tech jobs, conduct applied R&D, and build businesses to grow Chicago's tech ecosystem. With state investment and a new urban innovation district in development just south of the Chicago Loop, DPI has the resources to attract, develop and leverage the most driven people and companies the region has to offer and keep them here. DPI invites nominations and applications for the position of (Sr.) Research Software Development Engineer. This position offers an extraordinary opportunity for versed engineers to build technology-based products and services. The (Sr.) Research Software Development Engineer will work closely with the system architect, other members of the cross-functional & cross-organizational teams, and external researchers/industry partners to create best-in-class scalable technology-based platforms and services, and solutions. Additional responsibilities included: Provide technology based objective thinking through experience and knowledge in the latest platforms, and software infrastructure (including cloud-based) applications and services to support ongoing and new projects by gathering and analyzing software requirements and investigating optimal solutions. Collaborate with a cross-functional team of stakeholders, software developers, and architects to design, implement, and test the solutions. Connect the dots between project needs, innovation, and good design. Document and conduct testing to evaluate software robustness, identify bugs and defects, and verify requirements gaps. Provides basic system administration support (e.g., keeping applications, operating system, and security settings up to date, ensuring regular data backups, etc.) for LAMP (Linux, Apache, MySQL, PHP/Perl/Python) servers. Write detailed supporting documentation including software requirements specification, system architecture specification, operational requirements specification, and user interface specification. Build user interfaces that are interactive, consistent and fast, that thrive under heavy customization and varying use cases, that encourage exploration, and that earn the trust of our customers through reliable, accessible and thoughtful interactions. Code solutions to problems using a structured approach, keeping in mind long-term maintainability and accessibility. Test coded solutions properly to ensure a quality application. Work with end-users during and after development to ensure needs are met. Provide support and training to other technical teams, empowering them to train their team members on using web-based tools. Collaborate with Digital Experience and Analysis team members and interfaces with Information Services and third-party product support to ensure that servers and applications run smoothly and efficiently. Prepare activity reports to monitor progress and track the status of the projects Assume additional appropriate and related duties to further the mission of the institute as needed. Qualifications: Required: Software Engineer Level: Bachelor's degree in computer science or engineering with 1-3 years of industry experience or an advanced degree with at least one year of industry experience. Senior Level: Bachelor's degree in computer science or engineering with more than 5 years of industry experience. Knowledge and Experience: Software Engineer Level Qualifications Solid Computer Science foundation in data structures and algorithms, object-oriented programming (OOP), and modern software engineering practices Demonstrated proficiency with Python, C++, Java, Matlab, HTML/CSS, jQuery, or other programming languages Experience working with REST APIs Demonstrated experience debugging and testing software systems Strong verbal and written communication skills Excellent problem-solving and multi-tasking skills Preferred Master's Degree in computer science or engineering Three plus years of industry experience Experience working with open-source applications and frameworks Experience with agile software development Experience with version control systems (GIT, P4, ClearCase, etc.), bug tracking systems (Jira, Bugzilla, GitHub, etc.) Experience with cloud computing or other distributed programming environments Experience with database programming Experience working with machine learning algorithms to solve classification and clustering problems, perform information retrieval from unstructured and semi-structured data, and build supervised and semi-supervised learning solutions Experience with big data and analytics Senior Level Qualifications Demonstrated experience debugging and testing software systems Experience working with open-source applications and frameworks Experience with agile software development Experience with version control systems (GIT, P4, ClearCase, etc.), bug tracking systems (Jira, Bugzilla, GitHub, etc.) Experience with cloud computing or other distributed programming environments Experience with database programming Experience working with REST APIs Experience working with machine learning algorithms to solve classification and clustering problems, perform information retrieval from unstructured and semi-structured data, and build supervised and semi-supervised learning solutions Experience with big data and analytics Preferred Master's degree in computer science or engineering with four-plus years of industry experience or Ph.D. in CS, Engineering, Physics, or Math with 0-2 year experience Experience mentoring junior engineers/students. Experience with project management Track record of designing, building, and deploying software solutions and supporting them. Working knowledge of Distributed computing, Distributed Decisions making, and data science. Appointment Information This is a full-time, 12-month Academic Professional position. Application Procedures & Deadline Information For full consideration, candidates must apply and submit a letter of application, resume, and names/addresses/phone numbers of three professional references by 6pm 11/28/2022 or visit at http://hr.uillinois.edu/employment. System Human Resource Services (217) 333-2600 erhr@uillinois.edu The University of Illinois conducts criminal background checks on all job candidates upon acceptance of a contingent offer. Convictions are not a bar to employment. The University of Illinois System requires candidates selected for hire to disclose any documented finding of sexual misconduct or sexual harassment and to authorize inquiries to current and former employers regarding findings of sexual misconduct or sexual harassment. For more information, visit Policy on Consideration of Sexual Misconduct in Prior Employment. Applicants with disabilities are encouraged to apply and may request a reasonable accommodation under the Americans with Disabilities Act (2008) to complete the application and/or interview process. Requests may be submitted through the reasonable accommodations portal, or by contacting the Accessibility & Accommodations Division of the Office for Access and Equity at 217-333-0885, or by emailing accessibility@illinois.edu. As a qualifying federal contractor, the University of Illinois System uses E-Verify to verify employment eligibility. University of Illinois faculty, staff and students are required to be fully vaccinated against COVID-19. If you are not able to receive the vaccine for medical or religious reasons, you may seek approval for an exception in accordance with applicable University processes. Requisition ID: 9000209 Job Category: Academic Professional",other
bdae92f00a5685db,"Director, Data Analytics & Business Insights","Remote in New York, NY 10003","theSkimm' We're hiring a Director of Data Analytics & Business Insights. About our team and what we'll build together theSkimm's Data & Analytics team provides robust measurement and actionable insights on our growing membership base. The team is made up of Data Engineering, Data Science, Data Analytics & Business Insights, and Consumer Research. As our company grows, we're looking for a Director, Data Analytics & Business Insights to join our team. Reporting to theSkimm's VP of Data & Analytics, you will lead a team of analysts that support the entire business, working closely with stakeholders across Marketing, Product, Editorial, Sales, Finance. You will take the lead on reporting on KPIs to understand the health of the business and provide actionable insights to our Exec team for decision making. Ideally you are at the intersection of business strategy and data analytics or science and have managed a team of analysts. You have incredible communication and stakeholder management skills. How you'll contribute to our mission Manage an analytics team dedicated to all things data, from collection to analysis, to help us develop insights that will inform the company's strategic decisions and day to day decision making Set the vision, roadmap, and priorities for the Analytics & Business Insights team by understanding the needs of the business Create informative and well-organized presentations that contribute to overall understanding of the business from a financial perspective, explaining complex situations by clearly illustrative data and explaining the why behind observations Providing actionable insights to help stakeholders understand trends, marketplace dynamics, and user behaviors and work closely with stakeholders to obtain buy-in on recommendations Define key business metrics that inform the business and understand the levers to move these metrics Monitor business performance data across our product ecosystem Collaborate with data science, data engineering, and research teams to contribute to data methodologies, roadmap planning and understand nuances to our data Translate business questions into analytics needs, understanding the difference between what's available and what needs to be developed Own and build dashboards for all levels of the company, including executive leadership, to monitor key metrics and track progress A/B testing strategies including design, execution, and analysis You're ready for this! Here's a bit more about what we're looking for Minimum of a Bachelor's degree in Statistics, Mathematics, Economics, or another related field MBA considered a plus 7+ years of Marketing Analytics, Data Science, Business Intelligence or other quantitative discipline 3+ years leading a team of analysts Strong ability to condense complex concepts and analysis into clear and concise takeaways that drive action Experience with large datasets, statistical analyses, data visualization Strong experience with marketing analytics (campaign/experiment planning and execution) Strong stakeholder management and communication skills Strong SQL skills Strong business acumen Proficiency with business intelligence tools (e.g, Looker, Tableau) Experience with Python or other scripting languages Understanding of user segmentation, cohort analyses, regression models, funnel optimization Experience in Media or Publishing Familiarity and enthusiasm for theSkimm: a passion for our audience and mission High EQ The expected annual base salary for this role is $162,000-$180,000. We'll consider a variety of factors when determining the offered base salary including an evaluation of a candidate's skills, abilities, experience, location, market demands, and internal parity. Why we love working here We are mission driven and values driven: We are collectively building an impactful brand to empower generations of informed, confident women. Our vision is for every woman to have the info they need to navigate a complex world and the decisions in it. Every role has a purpose and allows us to provide useful information succinctly and contextualized. We tee her up to take action - whichever action is right for her, wherever she is. We are values driven at every point - how we work, the way we work and our culture come straight from our core values. Each of us supports this incredible brand and takes part in its continued growth, fulfilling the needs of our audience each and every day. We put you and your personal lives first - we have a generous benefits policy that demonstrates we are listening to what our employees need: Unlimited vacation policy and generous holiday observances A hybrid working model with flexibility for remote work Comprehensive insurance plans and commuter benefits Auto-enrollment into a MassMutual 401(k) plan starting on your first day and employer contribution available after one year of employment Rewards for every work anniversary One month paid sabbatical after your five year anniversary as a full-time employee We support our parents at all points on their journey: 18 weeks of paid parental leave (adoption, fostering and surrogacy included) Bereavement leave for pregnancy loss Phased return to work schedule availability Flexibility based on parental schedules Access to family building and fertility benefits Flexible and broad-scale child support program Your well being is our priority: We honor Sacred Time in our workplace We have aligned company ""time off"" during the summer to truly allow for us all to break from our work at the same time We offer fitness membership reimbursement One Medical Membership is included with our benefits We have a vibrant, collaborative, and supportive culture (we celebrate and have fun!): Weekly company updates led by our co-founders/co-CEOs Weekly lunch stipend for HQ employees Employee Resource Groups Employee awards ceremonies to celebrate individual accomplishments Clubs and activities designed to meet other employees like book clubs, new hire buddy programs, rooftop lunches, off-sites, and wellness focused classes Numerous culture events that enable our workforce, in the office and remote, to connect and have fun Your career and development are a priority: Annual learning and development stipend LEAD@theSkimm, our leadership development program DEI initiatives to ensure we are the best partners and colleagues to each other Career development guidance and planning And more… Competitive salary and equity packages Complimentary access to theSkimm's suite of membership products and swag The opportunity to be part of a values-driven, hardworking, and diverse group of people building a media company that makes it easier to live smarter Our story, Skimm'd We are a digital media company, dedicated to succinctly giving women the information they need to make confident decisions. We make it easier to live smarter. At our core, we are writers, editors, producers, designers, marketers, engineers, analysts, sellers, creatives, and strategists all working together to achieve this goal. Everyday we're breaking down the news, trends, policies, and politics that impact women so that they can navigate their daily lives and futures – from managing their paychecks to casting their ballots – with confidence. We provide our dedicated audience of millions with reliable, non-partisan, information, informing and empowering them while fitting into their daily routines. Since disrupting the media landscape and defining a new category a decade ago, we have become a trusted source for our audience of millions by seamlessly integrating into their existing routines, fundamentally changing the way they consume news and make decisions. Today theSkimm ecosystem includes the Daily Skimm, the Daily Skimm: Weekend, Skimm Money and Skimm Your Life newsletters, top-rated podcasts: ""Skimm This"" and ""9 to 5ish with theSkimm,"" theSkimm mobile app, virtual course series SkimmU, and Skimm Studios which creates innovative in-house video and audio content. Our first book, How to Skimm Your Life debuted at #1 on The New York Times Best Seller list. Through Skimm Impact, our purpose-driven platform, we are proud to support get-out-the-vote efforts with Skimm Your Ballot, which has spurred 1 million voting-related actions across the last three election cycles, and it's #ShowUsYourLeave movement, creating transparency and change for Paid Family Leave in the U.S. Come join us! Learn more about us and our other opportunities here. What about the office? This is a full-time role with flexibility for remote work. Our office is available to use three days a week - Tuesday, Wednesday, and Thursday. We have a hybrid environment and ask that employees within the New York Metro area come together in person a minimum of three days per month. All other days are up to the discretion of the employees during the three days a week that the office will be open. We are continuing to closely monitor the state of COVID-19 in New York and will adjust this plan accordingly. We will require COVID-19 vaccinations for anyone coming to our office. We are following CDC recommendations and will also require additional boosters, and will always follow CDC and NY state guidance on wearing masks in the office. Any correspondence from our team will come from a @theskimm.com email account! Job Type: Full-time",other
130662d774bb7c23,"Decision Science Product Manager - IDeaS Sustainment, Asia Resorts","Lake Buena Vista, FL","Decision Science Product Manager – IDeaS Sustainment, Asia Resorts Job Overview The Disney Decision Science + Integration (DDSI) organization provides internal consulting services for clients across The Walt Disney Company including the Disney Parks, Experiences and Products segment which include Parks & Resorts both domestic and international, Consumer Products and Disney Signature Experiences as well as the Disney Media & Entertainment Distribution segment which include Studios Content (Disney Theatrical Group), General Entertainment Content, and ESPN and Sports Content. The Decision Science Product team in DDSI leverages advanced analytics, technology, optimization, statistical, and econometric modeling to explore opportunities, shape business decisions, and drive business value. Our work includes conceptualizing new solutions, solution design and development, partnering with decision scientists, data engineers, and application developers, implementation (and integration with business processes), and ongoing business support to maximize profitability and improve the value proposition for our Guests, Cast Members, and Shareholders. DDSI seeks data-driven and business-minded Cast Members who are passionate about learning our client’s businesses, forming relationships with key partners, and driving value through the tactical and strategic use of data and analytics. You will support development and improvement of existing solutions by scoping, implementing, and testing enhancements in order to address business problems. You should enjoy connecting with clients to brainstorm ways to better support business decisions; being a thought partner in analytical settings; designing and building data visualization dashboards; and developing, managing and improving analytical solutions. Responsibilities Internal Consultant – You will act as a Company-wide consultant, with particular expertise on IDeaS G3 RMS to ensure the long-term success of the resort revenue management solution at our Shanghai, Hong Kong and Tokyo resorts. Strategic Partner – You will engage with internal domestic and international clients, as well as external vendors for projects that drive value, improve business efficiencies, or guide strategy development. Product Manager – You will support the assessment of business needs, requirements gathering, solution design, delivery, testing, and user training on the analytics application. You will manage client requests and prioritize them into a product roadmap. Storyteller – Through polished presentations, deliver and effectively communicate key insights, findings, and recommendations in a concise, actionable, and efficient manner to stakeholders and leadership. Problem Solver – When presented with new challenges, you will research and network to find solutions, evaluated within the context of business impact. Data Analyst – Collect, analyze, and visualize large data sets to determine patterns, gather insights, and uncover new revenue opportunities. Basic Qualifications Experience with any revenue management system Ability to meet with partners and clients outside of East Coast business hours for approximately 10% of the work week Ability to work autonomously and confidently with minimal oversight Ability to build trust and influence partnerships across a diverse group of clients, partners, vendors, and stakeholders, both internally and externally Ability to effectively train others on revenue management and dynamic pricing concepts, technology, and implementation Experience managing, implementing, or sustaining a hotel revenue management system in a large property environment Knowledge of dynamic pricing science, statistical methods, forecasting, and/or optimization Ability to simplify complex analytics into recommendations that are easily understood and executable Ability to prioritize in response to an ambiguous and rapidly changing business environment Creative problem-solving and decision-making skills Strong written and oral communication, presentation, and interpersonal skills Commitment to developing a diverse, equitable, and inclusive work environment Preferred Qualifications Experience with various hotel industry technologies: IDeaS G3 RMS, Opera PMS, and/or any hotel RMS / CRS /PMS Experience as a hotel revenue manager for a large property or multiple properties Experience with product management, project management, and/or system integration and implementation Understanding of advanced analytical methods for forecasting and/or optimization Experience demonstrating the value of a product or initiative after implementation Experience using data visualization technologies, such as Tableau, designing and developing interactive reports and dashboards Experience with one or more of the following languages: SQL, Python, SAS, and/or R Conversational proficiency in Mandarin, Cantonese and/or Japanese Required Education Bachelor’s degree in Business Administration, Hotel Administration, Statistics, Mathematics, Engineering, Economics, Data Analytics, Computer Science, or other relevant field; or equivalent experience.",other
9dd7e9df7a19f87a,Data Engineer,"South Bend, IN 46628","Tire Rack is seeking to expand our development team with an experienced Data Engineer! This team member will be responsible for creating and maintaining computer application software. Our ideal candidate will have previous experience in a similar environment. This individual will also bring an open mind and a desire to learn from the team! Does this sound like the next step for you? We would love to chat! New to Tire Rack? Please visit our website to learn more! www.tirerack.com Responsibilities: Create and maintain computer application software and/or utility programs Transfer data into an analysis-friendly format Build tools to automate data collection Analyze large data sets, pulling information that can inform high-level decisions Create reports and presentations for business uses Qualifications: Bachelor’s degree in a related field Ability to work 8a-5p EST, M-F 2+ years of experience in a similar work environment Ability and drive to assist end users as production issues arise Ability to communicate complex data in a simple, actionable way, including a working knowledge of complex data visualization Analytical and problem-solving skills. Experience using statistical computer languages (Python, SQL) to manipulate data and draw insights from large data sets. Working knowledge of office software, such as the Microsoft Office suite Ability to work independently and with team members from different backgrounds",data_engineer
06a9e8e0bfe86852,Data Scientist,Remote,"Data ScientistHireups Inc. – Remote Research Scientist | Computational Protein Engineer | Remote Job Overview: Research Scientist | Computational Protein Engineer - Consultant | Full-Time Possible | Flexible Schedule, C2C, 100% Remote, 1099 Intro: As a data scientist, you will be at the forefront of developing cutting-edge technology. Be a part of the collaborative and emerging scientific evolution. Hireups Inc. works alongside top engineers to build services for our clients. Join our team of data, science, and cloud professionals. Hireups provides an alternative work environment where you will have substantial opportunities to make a tangible and positive impact across various technologies. Protein engineering is the conception and production of unnatural polypeptides, often through modification of amino acid sequences that are found in nature. Synthetic protein structures and functions can now be designed entirely on a computer or produced through directed evolution in the laboratory. The position calls for research scientists/computational protein engineers. The ideal candidate is responsible for writing research papers and collaborating with developers. Candidates should have a background in data science, immersed Responsibilities: Writing research papers on different methods of protein-folding Working with flow cytometry(a cell-analysis technique) Screening involving DNA sequencing Developing computational pipelines for protein engineering utilizing PyRosetta/sequence-based approaches Engage in detailed research and collaboration with a team of scientists/developers Required: Excellent programming skills and mastery of one or more programming languages, including Unix, PowerShell, or Python (PyRosetta preferred) PhD or equivalent in molecular biology, biochemistry, bioengineering, biophysics, physics, computer science, computational biology, quantitative biology, or related field 2+ years of experience with any of the following technologies: Python, Protein Folding, Data Science Significant hands-on technical experience with modeling software such as Rosetta, Molecular Operating Environment (MOE), and/or Schrodinger Familiarity with machine learning algorithms applicable to model data Must be familiar with Jupyter Notebooks, Bayesian, and/or common statistics found in other Biology related projects. Preferred: US Citizen with core daylight hours The ability to design and develop a rich, comprehensive protein engineering pipeline Strong communication skills with the ability to articulate technical details to different audiences * Hands-on experience in the compilation, assembly, and development of protein structures Five years plus of demonstrated experience working for a company in a similar roleJoin the Team! Hireups jobs offer flexible hours with tremendous career growth. Moonlighters are welcome. Employees are offered comprehensive and beneficial training relative to their field. Here at Hireups, we focus on the health and growth of our team members. We are an equal opportunity employer and considers all qualified applicants equally without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, or disability status. LGBTQ+ friendly workplace Age-inclusive Job Types: Part-time, Contract Pay: $70.00 per hour Benefits: Flexible schedule",data_scientist
e06402818935f1cf,Entry Level NLP/Data Science Engineer - 333321,"Lorain, OH 44052+9 locations","Processing data at a scale. Distributed systems. Productizing the machine learning problems. Python programming. Deployment of the data science services at a large scale. Exploratory data analysis. Deep Learning models and its deployments. NLP / NLU or Computer vision. Job Type: Full-time Salary: $60,000.00 - $65,000.00 per year Benefits: Health insurance Schedule: 8 hour shift Work Location: One location",other
c87d31216e9cb1ab,Business Analyst x 3,Remote,"Job: Business Analyst x 3 Duration: 20+ months REMOTE GC or USC only W2 Contract Only Job Description/Responsibilities/Skillset Write up: Experience as BA on financial services projects Retirement plan experience is a MUST (401k, 403b, 457) Experience with data and research analysis Experience coordinating w/ testing teams to meet testing requirements Proficient with MS Office Coordination/Logistics/Analysis: Coordinate, schedule, and facilitate meetings with service teams and subject matter experts Capture meeting minutes, outstanding issues and decisions; follow-up on outstanding items to closure Assist management to identify efficiencies and streamline ongoing discussions and documentation Create governance reporting, dashboards and presentations to demonstrate progress and bring attention to challenges Identify gaps and opportunities; flexibility in adapting to lessons learned and the continuous evolvement of the project Comprehend research data at a plan level, segment level and organizational level Track and report on various deliverables throughout the project, both internally and externally, in accordance with established deadlines Work with internal departments to navigate potential solutions to issues and challenges Analyze complex data requirements Manipulate complex data requirements (formulas, charting, reporting) Manage testing needs with internal teams to ensure testing requirements are met Create and rollout process flows; create processing documentation Provide administrative support to Project Managers where required Qualifications: Data Analysis and Research Experience. Ability to think logically, critically, and constructively about complex problems and coordinate solutions. Ability to facilitate discussions to drive teams to decisions. Existing Retirement Plan Experience. Microsoft suite of products. Job Type: Contract Salary: $45.00 - $50.00 per hour Benefits: 401(k) 401(k) matching Compensation package: Hourly pay Weekly pay Experience level: 6 years 7 years 8 years Schedule: 8 hour shift Monday to Friday Experience: Business Analyst: 6 years (Preferred) Retirement plan: 4 years (Preferred) 401k, 403b, 457: 4 years (Preferred) MS Office: 3 years (Preferred) financial services projects: 5 years (Preferred) Work Location: Remote",data_analyst
4f8797e7712a9c57,Power BI Developer - Expert,Remote,"As a BI developer at isolved you will be responsible for the development and administration of BI tools along with complete knowledge of the BI system. Your main duty of a Power BI developer is to convert data into meaningful insights through interactive and easy-to-understand dashboards and reports. Core Job Duties Create dashboards and interactive visual reports using Power BI. Identify key performance indicators (KPIs) with clear objectives and consistently monitor. Analyze data and present data through reports that aid decision-making. Convert business requirements into technical specifications and decide timeline to accomplish. Work with users and team members at all levels for performance improvement and suggestions. Develop reports in Power BI. Establish framework and documentation for data collection and reporting. Design, develop and deploy business intelligence solutions as per needs. Job Complexity Having wide-ranging experience, uses professional concepts and company objectives to resolve complex issues in creative and effective ways. Go-to expert in one specific area of their role. Some barriers to entry exist at this level (e.g., dept/peer review). Level at which career may plateau. Interaction Works on complex issues where analysis of situations or data requires an in-depth evaluation of variable factors. Exercises judgment in selecting methods, techniques and evaluation criteria for obtaining results. Networks with key contacts outside own area of expertise. Supervision Determines methods and procedures on new assignments and may coordinate activities of other personnel (Team Lead). Experience Typically requires a minimum of 8 years of related experience with a Bachelor's degree; or 6 years and a Master's degree; or equivalent experience. Minimum Qualifications Expert understanding of Power BI and time intelligence. Minimum 5 years experience as a Power BI Developer. Ability to write and execute DAX measures, queries and functions in Power BI. Understand business requirements in BI context and design convert data into meaningful insights. Understanding of the theory of visual design. Understanding of the testing and validation process of Power BI reports. • Redefine and make technical/strategic changes to enhance existing Business Intelligence systems. • Ability to decipher and compile data in a complex, multi-system environment with non-normalized data. Expert understanding of Tableau, Domo and other BI software tools. Additional Preferred Qualifications Bachelor's degree preferred or equivalent combination of education and work. experience in competency area required. Experienced Power BI Developer looking for a challenge. Demonstrated experience/report portfolio. Physical Demands Prolonged periods of sitting at a desk and working on a computer. Must be able to lift up to 15 pounds. Travel Required Yes, up to 15% domestic travel may be required. #CB",bi
1cdb68d520a417ba,Business Intelligence (BI) Developer,"Washington, DC","We are seeking a BI Developer to join a data warehouse and BI development team supporting our federal customer's financial dashboard and reporting system. The BI Developer will work with the data team and business analysts to produce customized and ad-hoc analytics and visualizations for the agency's financial systems users. The candidate for this role should be a quick learner, self-starter, and be able to take minimal customer requirements and turn them into requested reports, dashboards, and/or analytics. Ideal candidate will also have system administration experience. This is a full-time position on a multi-year contract with on-site work performed at the client's office located in Washington, D.C. Responsibilities: Research and evaluate technical solutions and recommend the best course for given requirements. Design, develop, test, and implement WebFOCUS reporting for both new and existing applications, reports, and visualizations. Support system administration of existing WebFOCUS applications, reports, and visualizations. Create and maintain technical documentation on SharePoint. Serve as a BI team contributor. Collaborate closely with technical database, business, and quality assurance teams Requirements: Active Top Secret security clearance. 3+ years of experience developing or administering reporting applications using one or more BI platforms (e.g. WebFOCUS, Cognos, BusinessObjects, Tableau, Power BI, MicroStrategy). Strong, demonstrable knowledge of BI industry standards and best practices. Experience with relational databases, including an ability to interpret SQL. Demonstrated ability to troubleshoot and debug technical BI issues. Ability to rapidly learn new concepts and business systems. Analytical and problem solving skills with a strong attention to detail. cBEYONData is a Federal Contractor and an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities. Equal Employment Opportunity: All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.",bi
90780be9da255ba7,Data Engineer,"New York, NY","Position: Senior Data Engineer We’re looking for an experienced data engineer to join our growing analytics team. We help a wide variety of organizations gain more insight from data locked away in their enterprise systems. The work is challenging, to say the least. In return, you’ll be able to work with one of the most talented data teams in the country and with some of the most exciting companies in the world. If you consider yourself a full stack data analyst, we would love to hear from you. Education and/or Work Experience Requirements 5+ years of experience in building solutions using public cloud services Have a solid understanding of data warehouses, data lakes and business intelligence tools Experience with data integration concepts such as ETL and ELT Experience in building complex highly scalable and performant systems Specific Skills Proficient in writing analytical SQL and understand the difference between SQL that works, and performant SQL Experience with JSON Experience with REST services Experience with relational and columnar databases Experience with version control, testing, multiple environments, and continuous integration Responsibilities Build monitoring infrastructure to give visibility into the data pipeline’s status. Identify regular maintenance routines to minimize costs and maximize performance, such as partitions, compression and distributions. Develop custom data infrastructure when not available off-the-shelf for niche data ingestion pipelines. Determines operational feasibility by analysis, problem definition, requirements, solution development, and proposed solutions. Supports and develops the analytics team by providing advice, coaching and educational opportunities. Communicate findings clearly to a broad range of stakeholders Job Type: Full-time",data_engineer
